{hash: 4cabc0b, author: Adam, date: 2024-03-29 11:49:22 +0400, message: Merge pull request #71 from FortyGuard-Tech/feature/dashboard-changes},
{hash: 5a986f7, author: Adam, date: 2024-03-29 11:32:08 +0400, message: Refactor insights creation and storage},
{hash: acfb174, author: Adam, date: 2024-03-29 11:31:50 +0400, message: Refactor dashboard creation code},
{hash: 211172f, author: Adam, date: 2024-03-29 07:56:35 +0400, message: Merge pull request #70 from FortyGuard-Tech/feature/dashboard-changes},
{hash: a2e08d7, author: Adam, date: 2024-03-29 07:54:52 +0400, message: Will not create dashboard if already exists & Dashboard URL creation needs heatmap id},
{hash: 195b770, author: Adam, date: 2024-03-27 15:53:23 +0400, message: Update user permissions in analytics_insights.py},
{hash: b1612e0, author: Adam, date: 2024-03-27 15:44:20 +0400, message: Add SSO Endpoint to analytics_insights},
{hash: 690aeb4, author: Adam, date: 2024-03-27 15:43:36 +0400, message: Add LOOKER_EMBED_SECRET environment variable},
{hash: f1c5ff1, author: Adam, date: 2024-03-18 01:36:52 +0400, message: Merge pull request #62 from FortyGuard-Tech/fix/insights-request},
{hash: f03bad5, author: Adam, date: 2024-03-18 01:36:10 +0400, message: Updated task name in insights dashboard task},
{hash: 6bfbe06, author: Adam, date: 2024-03-18 01:35:44 +0400, message: Update analytics to Insights in heatmap initialization},
{hash: 81d2627, author: Adam, date: 2024-03-18 01:31:25 +0400, message: Updated Insights  document properties},
{hash: 8c15a3c, author: Adam, date: 2024-03-18 00:52:10 +0400, message: Merge pull request #61 from FortyGuard-Tech/fix/analytics-request},
{hash: e0269fb, author: Adam, date: 2024-03-18 00:51:29 +0400, message: Refactor analytics dashboard ID and consumer type in segmentGSV and segmentSatellite functions},
{hash: c12072c, author: Adam, date: 2024-03-17 23:34:35 +0400, message: Merge branch 'dev' into fix/analytics-request},
{hash: de281a3, author: Adam, date: 2024-03-17 16:48:00 +0400, message: Merge pull request #59 from FortyGuard-Tech/fix/analytics-request},
{hash: a982428, author: Adam, date: 2024-03-17 16:47:16 +0400, message: Update analytics and heatmap document with new analytics_dashboard_id},
{hash: 344335e, author: Adam, date: 2024-03-17 16:41:27 +0400, message: Merge pull request #58 from FortyGuard-Tech/fix/analytics-request},
{hash: 24904c9, author: Adam, date: 2024-03-17 16:40:19 +0400, message: Changed heatmap initialization code to use properties in request},
